Week,Search Volume
12/30/2018,0
1/6/2019,55
1/13/2019,27
1/20/2019,23
1/27/2019,33
2/3/2019,0
2/10/2019,32
2/17/2019,32
2/24/2019,29
3/3/2019,30
3/10/2019,0
3/17/2019,54
3/24/2019,53
3/31/2019,32
4/7/2019,32
4/14/2019,36
4/21/2019,32
4/28/2019,24
5/5/2019,35
5/12/2019,34
5/19/2019,50
5/26/2019,35
6/2/2019,43
6/9/2019,27
6/16/2019,0
6/23/2019,27
6/30/2019,39
7/7/2019,39
7/14/2019,49
7/21/2019,41
7/28/2019,58
8/4/2019,31
8/11/2019,41
8/18/2019,41
8/25/2019,29
9/1/2019,25
9/8/2019,56
9/15/2019,50
9/22/2019,41
9/29/2019,34
10/6/2019,71
10/13/2019,24
10/20/2019,35
10/27/2019,59
11/3/2019,34
11/10/2019,54
11/17/2019,30
11/24/2019,0
12/1/2019,26
12/8/2019,47
12/15/2019,26
12/22/2019,50
12/29/2019,43
1/5/2020,46
1/12/2020,19
1/19/2020,47
1/26/2020,33
2/2/2020,34
2/9/2020,27
2/16/2020,28
2/23/2020,33
3/1/2020,46
3/8/2020,47
3/15/2020,35
3/22/2020,20
3/29/2020,31
4/5/2020,22
4/12/2020,58
4/19/2020,50
4/26/2020,49
5/3/2020,60
5/10/2020,53
5/17/2020,26
5/24/2020,44
5/31/2020,67
6/7/2020,36
6/14/2020,28
6/21/2020,59
6/28/2020,46
7/5/2020,29
7/12/2020,36
7/19/2020,0
7/26/2020,0
8/2/2020,35
8/9/2020,23
8/16/2020,27
8/23/2020,34
8/30/2020,36
9/6/2020,38
9/13/2020,29
9/20/2020,37
9/27/2020,32
10/4/2020,33
10/11/2020,19
10/18/2020,51
10/25/2020,46
11/1/2020,47
11/8/2020,41
11/15/2020,55
11/22/2020,50
11/29/2020,50
12/6/2020,35
12/13/2020,32
12/20/2020,51
12/27/2020,42
1/3/2021,46
1/10/2021,31
1/17/2021,47
1/24/2021,69
1/31/2021,22
2/7/2021,29
2/14/2021,31
2/21/2021,37
2/28/2021,34
3/7/2021,22
3/14/2021,45
3/21/2021,54
3/28/2021,28
4/4/2021,42
4/11/2021,51
4/18/2021,72
4/25/2021,54
5/2/2021,36
5/9/2021,44
5/16/2021,29
5/23/2021,47
5/30/2021,44
6/6/2021,60
6/13/2021,50
6/20/2021,66
6/27/2021,22
7/4/2021,37
7/11/2021,0
7/18/2021,54
7/25/2021,24
8/1/2021,27
8/8/2021,44
8/15/2021,47
8/22/2021,39
8/29/2021,0
9/5/2021,0
9/12/2021,21
9/19/2021,0
9/26/2021,35
10/3/2021,21
10/10/2021,24
10/17/2021,60
10/24/2021,31
10/31/2021,41
11/7/2021,34
11/14/2021,72
11/21/2021,69
11/28/2021,48
12/5/2021,34
12/12/2021,96
12/19/2021,59
12/26/2021,40
1/2/2022,49
1/9/2022,77
1/16/2022,53
1/23/2022,67
1/30/2022,34
2/6/2022,22
2/13/2022,27
2/20/2022,30
2/27/2022,38
3/6/2022,39
3/13/2022,60
3/20/2022,58
3/27/2022,50
4/3/2022,50
4/10/2022,62
4/17/2022,41
4/24/2022,48
5/1/2022,68
5/8/2022,59
5/15/2022,37
5/22/2022,43
5/29/2022,46
6/5/2022,60
6/12/2022,95
6/19/2022,52
6/26/2022,49
7/3/2022,42
7/10/2022,58
7/17/2022,56
7/24/2022,73
7/31/2022,46
8/7/2022,25
8/14/2022,53
8/21/2022,33
8/28/2022,32
9/4/2022,38
9/11/2022,59
9/18/2022,87
9/25/2022,67
10/2/2022,38
10/9/2022,34
10/16/2022,56
10/23/2022,72
10/30/2022,100
11/6/2022,64
11/13/2022,69
11/20/2022,58
11/27/2022,59
12/4/2022,50
12/11/2022,63
12/18/2022,47
12/25/2022,46
1/1/2023,61
1/8/2023,33
1/15/2023,59
1/22/2023,35
1/29/2023,47
2/5/2023,29
2/12/2023,24
2/19/2023,23
2/26/2023,35
3/5/2023,21
3/12/2023,38
3/19/2023,63
3/26/2023,44
4/2/2023,56
4/9/2023,77
4/16/2023,38
4/23/2023,60
4/30/2023,69
5/7/2023,44
5/14/2023,56
5/21/2023,55
5/28/2023,40
6/4/2023,60
6/11/2023,80
6/18/2023,57
6/25/2023,38
7/2/2023,14
7/9/2023,39
7/16/2023,53
7/23/2023,65
7/30/2023,43
8/6/2023,53
8/13/2023,35
8/20/2023,49
8/27/2023,40
9/3/2023,47
9/10/2023,51
9/17/2023,33
9/24/2023,36
10/1/2023,22
10/8/2023,58
10/15/2023,59
10/22/2023,57
10/29/2023,63
11/5/2023,60
11/12/2023,42
11/19/2023,79
11/26/2023,49
12/3/2023,46
12/10/2023,47
12/17/2023,35
12/24/2023,44
12/31/2023,50
