Week,Search Volume
12/30/2018,48
1/6/2019,52
1/13/2019,46
1/20/2019,45
1/27/2019,47
2/3/2019,54
2/10/2019,48
2/17/2019,53
2/24/2019,47
3/3/2019,52
3/10/2019,50
3/17/2019,52
3/24/2019,54
3/31/2019,44
4/7/2019,51
4/14/2019,49
4/21/2019,45
4/28/2019,45
5/5/2019,51
5/12/2019,59
5/19/2019,58
5/26/2019,48
6/2/2019,28
6/9/2019,46
6/16/2019,54
6/23/2019,41
6/30/2019,55
7/7/2019,50
7/14/2019,36
7/21/2019,43
7/28/2019,44
8/4/2019,40
8/11/2019,22
8/18/2019,39
8/25/2019,40
9/1/2019,50
9/8/2019,46
9/15/2019,46
9/22/2019,45
9/29/2019,50
10/6/2019,47
10/13/2019,51
10/20/2019,47
10/27/2019,45
11/3/2019,48
11/10/2019,48
11/17/2019,49
11/24/2019,49
12/1/2019,48
12/8/2019,47
12/15/2019,51
12/22/2019,45
12/29/2019,52
1/5/2020,60
1/12/2020,52
1/19/2020,50
1/26/2020,45
2/2/2020,46
2/9/2020,49
2/16/2020,54
2/23/2020,49
3/1/2020,49
3/8/2020,52
3/15/2020,43
3/22/2020,39
3/29/2020,36
4/5/2020,35
4/12/2020,38
4/19/2020,41
4/26/2020,51
5/3/2020,55
5/10/2020,55
5/17/2020,50
5/24/2020,48
5/31/2020,63
6/7/2020,58
6/14/2020,53
6/21/2020,54
6/28/2020,60
7/5/2020,56
7/12/2020,52
7/19/2020,52
7/26/2020,38
8/2/2020,48
8/9/2020,50
8/16/2020,58
8/23/2020,59
8/30/2020,57
9/6/2020,52
9/13/2020,47
9/20/2020,49
9/27/2020,53
10/4/2020,53
10/11/2020,55
10/18/2020,53
10/25/2020,49
11/1/2020,51
11/8/2020,49
11/15/2020,53
11/22/2020,48
11/29/2020,52
12/6/2020,59
12/13/2020,50
12/20/2020,53
12/27/2020,49
1/3/2021,51
1/10/2021,54
1/17/2021,56
1/24/2021,55
1/31/2021,51
2/7/2021,50
2/14/2021,47
2/21/2021,50
2/28/2021,54
3/7/2021,49
3/14/2021,51
3/21/2021,54
3/28/2021,59
4/4/2021,49
4/11/2021,54
4/18/2021,56
4/25/2021,51
5/2/2021,48
5/9/2021,34
5/16/2021,48
5/23/2021,54
5/30/2021,63
6/6/2021,65
6/13/2021,55
6/20/2021,55
6/27/2021,50
7/4/2021,54
7/11/2021,43
7/18/2021,20
7/25/2021,45
8/1/2021,47
8/8/2021,46
8/15/2021,49
8/22/2021,50
8/29/2021,51
9/5/2021,50
9/12/2021,50
9/19/2021,55
9/26/2021,53
10/3/2021,54
10/10/2021,55
10/17/2021,61
10/24/2021,50
10/31/2021,61
11/7/2021,53
11/14/2021,59
11/21/2021,59
11/28/2021,66
12/5/2021,63
12/12/2021,61
12/19/2021,52
12/26/2021,52
1/2/2022,97
1/9/2022,59
1/16/2022,52
1/23/2022,53
1/30/2022,61
2/6/2022,60
2/13/2022,61
2/20/2022,62
2/27/2022,71
3/6/2022,69
3/13/2022,61
3/20/2022,100
3/27/2022,64
4/3/2022,63
4/10/2022,65
4/17/2022,62
4/24/2022,56
5/1/2022,43
5/8/2022,66
5/15/2022,61
5/22/2022,63
5/29/2022,65
6/5/2022,56
6/12/2022,58
6/19/2022,52
6/26/2022,51
7/3/2022,41
7/10/2022,31
7/17/2022,49
7/24/2022,47
7/31/2022,50
8/7/2022,50
8/14/2022,47
8/21/2022,48
8/28/2022,49
9/4/2022,52
9/11/2022,48
9/18/2022,47
9/25/2022,51
10/2/2022,52
10/9/2022,48
10/16/2022,49
10/23/2022,49
10/30/2022,50
11/6/2022,45
11/13/2022,48
11/20/2022,45
11/27/2022,50
12/4/2022,55
12/11/2022,53
12/18/2022,49
12/25/2022,44
1/1/2023,66
1/8/2023,57
1/15/2023,46
1/22/2023,47
1/29/2023,45
2/5/2023,30
2/12/2023,39
2/19/2023,42
2/26/2023,47
3/5/2023,52
3/12/2023,46
3/19/2023,40
3/26/2023,43
4/2/2023,48
4/9/2023,51
4/16/2023,34
4/23/2023,46
4/30/2023,42
5/7/2023,43
5/14/2023,39
5/21/2023,53
5/28/2023,57
6/4/2023,61
6/11/2023,57
6/18/2023,50
6/25/2023,25
7/2/2023,45
7/9/2023,49
7/16/2023,45
7/23/2023,49
7/30/2023,51
8/6/2023,47
8/13/2023,46
8/20/2023,43
8/27/2023,43
9/3/2023,47
9/10/2023,57
9/17/2023,54
9/24/2023,49
10/1/2023,45
10/8/2023,52
10/15/2023,47
10/22/2023,47
10/29/2023,45
11/5/2023,50
11/12/2023,49
11/19/2023,50
11/26/2023,45
12/3/2023,50
12/10/2023,50
12/17/2023,45
12/24/2023,45
12/31/2023,52
