Week,Search Volume
12/30/2018,52
1/6/2019,68
1/13/2019,72
1/20/2019,62
1/27/2019,62
2/3/2019,55
2/10/2019,42
2/17/2019,51
2/24/2019,57
3/3/2019,42
3/10/2019,46
3/17/2019,62
3/24/2019,55
3/31/2019,43
4/7/2019,49
4/14/2019,48
4/21/2019,53
4/28/2019,60
5/5/2019,69
5/12/2019,51
5/19/2019,64
5/26/2019,63
6/2/2019,49
6/9/2019,61
6/16/2019,65
6/23/2019,58
6/30/2019,58
7/7/2019,59
7/14/2019,62
7/21/2019,51
7/28/2019,67
8/4/2019,65
8/11/2019,58
8/18/2019,65
8/25/2019,54
9/1/2019,56
9/8/2019,69
9/15/2019,67
9/22/2019,47
9/29/2019,53
10/6/2019,48
10/13/2019,50
10/20/2019,56
10/27/2019,47
11/3/2019,41
11/10/2019,48
11/17/2019,43
11/24/2019,62
12/1/2019,45
12/8/2019,56
12/15/2019,49
12/22/2019,54
12/29/2019,57
1/5/2020,59
1/12/2020,70
1/19/2020,61
1/26/2020,64
2/2/2020,49
2/9/2020,71
2/16/2020,72
2/23/2020,66
3/1/2020,82
3/8/2020,78
3/15/2020,76
3/22/2020,68
3/29/2020,63
4/5/2020,58
4/12/2020,79
4/19/2020,76
4/26/2020,63
5/3/2020,57
5/10/2020,54
5/17/2020,52
5/24/2020,61
5/31/2020,59
6/7/2020,55
6/14/2020,68
6/21/2020,57
6/28/2020,60
7/5/2020,50
7/12/2020,53
7/19/2020,64
7/26/2020,81
8/2/2020,64
8/9/2020,62
8/16/2020,60
8/23/2020,72
8/30/2020,61
9/6/2020,60
9/13/2020,71
9/20/2020,75
9/27/2020,84
10/4/2020,94
10/11/2020,67
10/18/2020,79
10/25/2020,100
11/1/2020,96
11/8/2020,78
11/15/2020,79
11/22/2020,60
11/29/2020,77
12/6/2020,61
12/13/2020,56
12/20/2020,61
12/27/2020,56
1/3/2021,59
1/10/2021,59
1/17/2021,57
1/24/2021,58
1/31/2021,61
2/7/2021,53
2/14/2021,60
2/21/2021,59
2/28/2021,58
3/7/2021,61
3/14/2021,49
3/21/2021,69
3/28/2021,81
4/4/2021,79
4/11/2021,73
4/18/2021,88
4/25/2021,84
5/2/2021,63
5/9/2021,72
5/16/2021,79
5/23/2021,78
5/30/2021,65
6/6/2021,71
6/13/2021,78
6/20/2021,82
6/27/2021,99
7/4/2021,63
7/11/2021,57
7/18/2021,76
7/25/2021,57
8/1/2021,51
8/8/2021,47
8/15/2021,58
8/22/2021,60
8/29/2021,76
9/5/2021,55
9/12/2021,49
9/19/2021,74
9/26/2021,87
10/3/2021,62
10/10/2021,43
10/17/2021,33
10/24/2021,63
10/31/2021,62
11/7/2021,48
11/14/2021,57
11/21/2021,63
11/28/2021,60
12/5/2021,77
12/12/2021,41
12/19/2021,40
12/26/2021,42
1/2/2022,39
1/9/2022,57
1/16/2022,50
1/23/2022,44
1/30/2022,53
2/6/2022,49
2/13/2022,40
2/20/2022,47
2/27/2022,52
3/6/2022,32
3/13/2022,40
3/20/2022,47
3/27/2022,49
4/3/2022,49
4/10/2022,51
4/17/2022,55
4/24/2022,58
5/1/2022,56
5/8/2022,61
5/15/2022,53
5/22/2022,53
5/29/2022,53
6/5/2022,54
6/12/2022,69
6/19/2022,54
6/26/2022,45
7/3/2022,52
7/10/2022,47
7/17/2022,57
7/24/2022,56
7/31/2022,54
8/7/2022,48
8/14/2022,60
8/21/2022,62
8/28/2022,59
9/4/2022,56
9/11/2022,62
9/18/2022,54
9/25/2022,54
10/2/2022,56
10/9/2022,45
10/16/2022,69
10/23/2022,52
10/30/2022,57
11/6/2022,59
11/13/2022,57
11/20/2022,57
11/27/2022,43
12/4/2022,63
12/11/2022,55
12/18/2022,57
12/25/2022,68
1/1/2023,63
1/8/2023,53
1/15/2023,50
1/22/2023,46
1/29/2023,52
2/5/2023,41
2/12/2023,34
2/19/2023,47
2/26/2023,35
3/5/2023,40
3/12/2023,41
3/19/2023,40
3/26/2023,46
4/2/2023,32
4/9/2023,44
4/16/2023,41
4/23/2023,36
4/30/2023,43
5/7/2023,45
5/14/2023,18
5/21/2023,42
5/28/2023,45
6/4/2023,37
6/11/2023,39
6/18/2023,48
6/25/2023,40
7/2/2023,41
7/9/2023,49
7/16/2023,51
7/23/2023,45
7/30/2023,56
8/6/2023,36
8/13/2023,54
8/20/2023,59
8/27/2023,51
9/3/2023,51
9/10/2023,50
9/17/2023,49
9/24/2023,39
10/1/2023,41
10/8/2023,42
10/15/2023,40
10/22/2023,40
10/29/2023,38
11/5/2023,49
11/12/2023,48
11/19/2023,44
11/26/2023,37
12/3/2023,42
12/10/2023,33
12/17/2023,28
12/24/2023,42
12/31/2023,32
